														Production Plan								Scenario 1: No action			Scenario 2: IUT							Scenario 3: Order basis MOQ for production plan						Scenario 4: Input date from network planner					
Plant/CBU	Plant/Material	Plantcode	CBU_Material	ComponentCode	Component Material Type	conversion_factor	Open PO Quantity	Unrestricted_Stock	Quality_Stock	Blocked_Stock	Total_Stock	 Total Production Quantity Possible (FG equivalent) 	 UOM (default tonnes, EA, cases) 	Total Production Plan	Total weeks	Daily avg	5/31/2026	6/15/2026	6/22/2026	6/29/2026	7/20/2026	 Production at each site without action (in FG) 	 Waste at each site based on min prod (In RMPM) 	RMPM based production date (week of)	IUT possible?	"Transfer quantity: 
After considering  production quantity (FG)"	Material available at site for production after IUT (FG)	Minimum production after IUT (In FG)	Total production with IUT (In FG)	Waste after IUT (In RMPM)	RMPM based production date (week of)	Total order quantity required (FG)	Order quantity minus available Qty (FG)	Order Quantity (RMPM)	MOQ	Price	Net Order (RMPM Units)	Target Landing Date (production of old pack)	Target Production Quantity based on input date	Extra Order Quantity based on production possible (RMPM)	MOQ	Net Order	Business Waste after ordering
U535_VCBL1R0	U535_62697423	U535	VCBL1R0	62697423	1002	0.010416667	500	123.00	0.00	0.00	123.00	                59,808.00 	 EA 	444444	4	18519		 111,111.00 	 111,111.00 	 111,111.00 	 111,111.00 	29582	                       314.85 	6/15/2026	Yes	                                        -   	                                                        30,226 	               12,589 	               42,171 	                      184 	6/15/2026	             402,273 	             384,636 	            4,006.62 	500		4006.62	6/29/2026	333333.00	                   2,849.22 	500	2849.219	                         -   
U535_VCBL1R0	U535_62698468	U535	VCBL1R0	62698468	1003	1	13800	15782.00	0.00	0.00	15782.00	                29,582.00 	 EA 	444444		18519		 111,111.00 	 111,111.00 	 111,111.00 	 111,111.00 	29582	                                  -   	6/15/2026	No	                                        -   	                                                        12,589 	               12,589 	               42,171 	                          -   	6/15/2026	             402,273 	             402,273 	       402,273.11 	0		402273.11	6/29/2026	333333.00	              303,751.00 	0	303751	                         -   
U871_VCBL1R0	U871_62697423	U871	VCBL1R0	62697423	1002	0.010416667	0	0.00	0.00	0.00	0.00	                                 -   		0								0	                                  -   	5/31/2026	No	                                        -   		                          -   	                          -   	                          -   		                          -   	                          -   	                          -   	0		0	6/29/2026	0.00	                                 -   	0	0	                         -   
U871_VCBL1R0	U871_62698468	U871	VCBL1R0	62698468	1003	1	0	0.00	0.00	0.00	0.00	                                 -   		0								0	                                  -   	5/31/2026	No	                                        -   		                          -   	                          -   	                          -   		                          -   	                          -   	                          -   	0		0	6/29/2026	0.00	                                 -   	0	0	                         -   
UDE_VCBL1R0	UDE_62697423	UDE	VCBL1R0	62697423	1002	0.010416667	0	0.00	0.00	0.00	0.00	                                 -   		0								0	                                  -   	5/31/2026	No	                                        -   		                          -   	                          -   	                          -   		                          -   	                          -   	                          -   	0		0	6/29/2026	0.00	                                 -   	0	0	                         -   
UDE_VCBL1R0	UDE_62698468	UDE	VCBL1R0	62698468	1003	1	0	0.00	0.00	0.00	0.00	                                 -   		0								0	                                  -   	5/31/2026	No	                                        -   		                          -   	                          -   	                          -   		                          -   	                          -   	                          -   	0		0	6/29/2026	0.00	                                 -   	0	0	                         -   
ULU_VCBL1R0	ULU_62697423	ULU	VCBL1R0	62697423	1002	0.010416667	0	0.00	0.00	0.00	0.00	                                 -   		0								0	                                  -   	5/31/2026	No	                                        -   		                          -   	                          -   	                          -   		                          -   	                          -   	                          -   	0		0	6/29/2026	0.00	                                 -   	0	0	                         -   
ULU_VCBL1R0	ULU_62698468	ULU	VCBL1R0	62698468	1003	1	0	0.00	0.00	0.00	0.00	                                 -   		0								0	                                  -   	5/31/2026	No	                                        -   		                          -   	                          -   	                          -   		                          -   	                          -   	                          -   	0		0	6/29/2026	0.00	                                 -   	0	0	                         -   
UTR_VCBL1R0	UTR_62697423	UTR	VCBL1R0	62697423	1002	0.010416667	1000	140.00	0.00	0.00	140.00	              109,440.00 	 EA 	111111.1111		111111.1	 111,111.00 					109440	                                  -   	5/31/2026	No	                                        -   	0	                          -   	             109,440 	                          -   	5/31/2026	                  1,671 	                  1,671 	                        17 	500		500	6/29/2026	111111.00	                         17.41 	500	500	              482.59 
UTR_VCBL1R0	UTR_62698468	UTR	VCBL1R0	62698468	1003	1	112000	11700.00	0.00	0.00	11700.00	              123,700.00 	 EA 	111111.1111	1	111111.1	 111,111.00 					109440	                 14,260.00 	5/31/2026	Yes	                              12,589 	                                                           1,671 	                          -   	             109,440 	                  1,671 	5/31/2026	                  1,671 	                          -   	                          -   	1000		0	6/29/2026	111111.00	                                 -   	1000	0	                         -   
